2021-04-23 11:07:30,188  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Starting ShippingServiceApplication on DESKTOP-VOMVIUL with PID 1900 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service) 
2021-04-23 11:07:30,188 DEBUG | main | i.v.omt.shipping.ShippingServiceApplication            | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 11:07:30,188  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | The following profiles are active: dev 
2021-04-23 11:07:33,930  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Started ShippingServiceApplication in 4.358 seconds (JVM running for 5.276) 
2021-04-23 11:12:20,554  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Starting ShippingServiceApplication on DESKTOP-VOMVIUL with PID 5204 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service) 
2021-04-23 11:12:20,555 DEBUG | main | i.v.omt.shipping.ShippingServiceApplication            | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 11:12:20,555  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | The following profiles are active: dev 
2021-04-23 11:12:24,440  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Started ShippingServiceApplication in 4.552 seconds (JVM running for 5.649) 
2021-04-23 13:40:09,013  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Starting ShippingServiceApplication on DESKTOP-VOMVIUL with PID 4488 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service) 
2021-04-23 13:40:09,013 DEBUG | main | i.v.omt.shipping.ShippingServiceApplication            | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 13:40:09,013  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | The following profiles are active: dev 
2021-04-23 13:40:12,672  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Started ShippingServiceApplication in 4.258 seconds (JVM running for 5.204) 
2021-04-23 13:43:01,434  INFO | http-nio-8895-exec-1 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:43:01,434  INFO | http-nio-8895-exec-1 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:45:54,386  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Starting ShippingServiceApplication on DESKTOP-VOMVIUL with PID 7484 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\shipping-service) 
2021-04-23 13:45:54,387 DEBUG | main | i.v.omt.shipping.ShippingServiceApplication            | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 13:45:54,387  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | The following profiles are active: dev 
2021-04-23 13:45:58,382  INFO | main | i.v.omt.shipping.ShippingServiceApplication            | Started ShippingServiceApplication in 4.62 seconds (JVM running for 5.675) 
2021-04-23 13:46:30,224  INFO | http-nio-8895-exec-2 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping completed successfully for order 234 
2021-04-23 13:46:30,224  INFO | http-nio-8895-exec-2 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentProcessedEvent" for order 234 
2021-04-23 13:46:30,327  INFO | http-nio-8895-exec-2 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
2021-04-23 13:46:30,327  INFO | http-nio-8895-exec-2 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentFailedEvent" for order 234 
2021-04-23 13:46:30,347  INFO | http-nio-8895-exec-1 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
2021-04-23 13:46:30,347  INFO | http-nio-8895-exec-1 | it.vinicioflamini.omt.shipping.service.ShippingService | Going to send a "ShipmentFailedEvent" for order 234 
2021-04-23 13:46:30,378  INFO | http-nio-8895-exec-3 | it.vinicioflamini.omt.shipping.service.ShippingService | Shipping failed for order id: 234 
