2021-04-23 10:32:10,792  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | Starting InventoryServiceApplication on DESKTOP-VOMVIUL with PID 8180 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service) 
2021-04-23 10:32:10,792 DEBUG | main | i.v.omt.inventory.InventoryServiceApplication          | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 10:32:10,792  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | The following profiles are active: dev 
2021-04-23 10:32:15,412  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | Started InventoryServiceApplication in 5.344 seconds (JVM running for 6.733) 
2021-04-23 13:06:31,757  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | Starting InventoryServiceApplication on DESKTOP-VOMVIUL with PID 5976 (E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service\target\classes started by vf in E:\Workspaces\PersonalWorkspace\orchestration-microservices-transaction\inventory-service) 
2021-04-23 13:06:31,758 DEBUG | main | i.v.omt.inventory.InventoryServiceApplication          | Running with Spring Boot v2.1.10.RELEASE, Spring v5.1.11.RELEASE 
2021-04-23 13:06:31,758  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | The following profiles are active: dev 
2021-04-23 13:06:35,433  INFO | main | i.v.omt.inventory.InventoryServiceApplication          | Started InventoryServiceApplication in 4.268 seconds (JVM running for 5.272) 
2021-04-23 13:07:21,337  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Item was fetched successfully for order 234 
2021-04-23 13:07:21,337  INFO | http-nio-8894-exec-2 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemFetchedEvent" for order 234 
2021-04-23 13:08:57,192  INFO | http-nio-8894-exec-4 | i.vinicioflamini.omt.inventory.service.InventoryService | Item is out of stock for order 234 
2021-04-23 13:08:57,192  INFO | http-nio-8894-exec-4 | i.vinicioflamini.omt.inventory.service.InventoryService | Going to send an "ItemOutOfStockEvent" for order 234 
